Title: The Catalina Surveys Periodic Variable Star Catalog 
Authors: Drake A.J., Graham M.J., Djorgovski S.G., Catelan M., Mahabal A.A., 
         Torrealba .G., Garcia-Alvarez D., Donalek C., Prieto J.L., Williams R.,
         Larson S., Christensen E., Belokurov V., Koposov S.E., Beshore E., 
         Boattini A., Gibbs A., Hill .R., Kowalski R., Johnson J., Shelly F. 
Table: Periodic Variable Catalog
================================================================================
Byte-by-byte Description of file: apjs496324t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label   Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---      CSS     Catalina Sky Survey identifier
  22- 23 I2     h        RAh     Hour of Right Ascension (J2000) 
  25- 26 I2     min      RAm     Minute of Right Ascension (J2000) 
  28- 32 F5.2   s        RAs     Second of Right Ascension (J2000) 
      34 A1     ---      DE-     Sign of the Declination (J2000)
  35- 36 I2     deg      DEd     Degree of Declination (J2000) 
  38- 39 I2     arcmin   DEm     Arcminute of Declination (J2000) 
  41- 44 F4.1   arcsec   DEs     Arcsecond of Declination (J2000) 
  46- 50 F5.2   mag      <Vmag>  Average V band magnitude from AFD
  52- 62 F11.7  d        PF      ? Period
  64- 68 F5.2   mag      AV      Amplitude from AFD
  70- 71 I2     ---      Class   Numerical class based on Table 2
      73 A1     ---    f_Class   Flag on Class (1)
--------------------------------------------------------------------------------
Note (1): 
    a = Period is inexact based on light curve inspection. 
    b = An object exhibiting baseline variation due to spots. 
CSS_J000704.7+423129 00 07 04.79 +42 31 29.0 15.51   0.295704   0.18  1 
CSS_J000713.8+432642 00 07 13.84 +43 26 42.4 14.39   0.307982   0.29  1 
CSS_J000713.9-134225 00 07 13.95 -13 42 25.8 17.93   0.254878   0.34  1 a  
CSS_J000715.7+253905 00 07 15.77 +25 39 05.8 16.63   0.276047   0.19  1 
CSS_J000723.6-162101 00 07 23.66 -16 21 01.1 14.76   0.326842   0.18  1 
CSS_J000740.9+442845 00 07 40.91 +44 28 45.2 16.20   0.449922   0.27  1 
CSS_J000809.9+385226 00 08 09.96 +38 52 26.4 18.35   0.309406   0.30  1 a  
CSS_J000821.0+425117 00 08 21.04 +42 51 17.2 17.46   0.254566   0.53  1 
CSS_J000825.3+170048 00 08 25.33 +17 00 48.2 16.16   0.519686   0.42  2 
CSS_J000831.5+314901 00 08 31.54 +31 49 01.3 16.32   0.301446   0.12  1 a  
CSS_J000953.4+432937 00 09 53.45 +43 29 37.5 16.12   0.237339   0.14  8 
CSS_J001027.0+431509 00 10 27.09 +43 15 09.0 15.51   0.273902   0.63  1 
CSS_J001123.2-173231 00 11 23.25 -17 32 31.6 12.91   0.355942   0.33  1 
CSS_J001124.3-040621 00 11 24.30 -04 06 21.0 16.26   0.254454   0.28  1 
CSS_J001129.0-101110 00 11 29.00 -10 11 10.9 17.12   0.862876   0.28  1 
CSS_J001130.6-124814 00 11 30.68 -12 48 14.7 15.87   0.371772   0.36  1 
CSS_J001131.7-112029 00 11 31.75 -11 20 29.9 15.61   2.16852    0.41  3 
CSS_J001139.1-162641 00 11 39.14 -16 26 41.1 15.60   0.435426   0.10  1 a  
CSS_J001143.0+443719 00 11 43.06 +44 37 19.8 17.31   0.552805   1.29  4 
CSS_J001145.6+181545 00 11 45.67 +18 15 45.5 15.83   0.297666   0.34  1 
CSS_J001145.7+181545 00 11 45.77 +18 15 45.2 15.80   0.297662   0.33  1 
CSS_J001148.6-120457 00 11 48.65 -12 04 57.7 15.90   0.25525    0.19  1 
CSS_J001154.8+034927 00 11 54.80 +03 49 27.3 16.65   0.267557   0.28  1 
CSS_J001156.0+431630 00 11 56.04 +43 16 30.1 14.86   0.359932   0.46  1 
CSS_J001156.9+162328 00 11 56.90 +16 23 28.5 16.76   0.464748   0.23  1 
CSS_J001217.5+054653 00 12 17.56 +05 46 53.4 16.78   0.27234    0.29  1 
CSS_J001218.2+231608 00 12 18.23 +23 16 08.3 14.92   0.268746   0.51  1 
CSS_J001223.3+274350 00 12 23.38 +27 43 50.9 16.03              0.06 17 
CSS_J001223.5+274350 00 12 23.59 +27 43 50.0 16.08   1.8285     0.44  2 
CSS_J001226.4+290852 00 12 26.44 +29 08 52.1 15.20   0.3984228  0.15  1 
CSS_J001226.4+384325 00 12 26.44 +38 43 25.4 16.67   0.365718   0.31  1 
CSS_J001226.9+205605 00 12 26.90 +20 56 05.9 15.14   0.370832   0.52  1 
CSS_J001228.5+274432 00 12 28.57 +27 44 32.3 16.65   0.23091    0.19  1 
CSS_J001228.7+274431 00 12 28.75 +27 44 31.4 16.70   0.23091    0.19  1 
CSS_J001231.6-140208 00 12 31.61 -14 02 08.8 13.48   0.326318   0.43  5 
CSS_J001238.5-103835 00 12 38.50 -10 38 35.0 18.80   0.674941   0.77  4 
CSS_J001239.0+290410 00 12 39.07 +29 04 10.7 14.68   0.452588   0.14  1 
CSS_J001241.2+045037 00 12 41.20 +04 50 37.0 16.86   0.222068   0.23  1 
CSS_J001241.8+224144 00 12 41.88 +22 41 44.2 15.34   1.06851    0.28  2 
CSS_J001242.4+130809 00 12 42.44 +13 08 09.2 15.50   0.164086   0.24 14 c 
CSS_J001242.4+252831 00 12 42.48 +25 28 31.6 14.73 106.04708    0.51 10 
CSS_J001243.2-120042 00 12 43.27 -12 00 42.9 18.69   0.5990391  0.59  4 
CSS_J001244.8-080209 00 12 44.89 -08 02 09.4 16.31   0.255424   0.29  1 
CSS_J001246.1+413555 00 12 46.14 +41 35 55.5 14.42   0.312216   0.12  1 
CSS_J001248.3+201447 00 12 48.39 +20 14 47.9 16.30  12.4791     0.28  8 
CSS_J001259.9+141858 00 12 59.93 +14 18 58.3 13.16   0.329498   0.41  1 
CSS_J001301.6-165514 00 13 01.68 -16 55 14.2 13.18   0.343244   0.31  1 
CSS_J001303.9+030153 00 13 03.91 +03 01 53.1 14.74   0.398939   0.62  2 
CSS_J001312.9+075804 00 13 12.90 +07 58 04.2 16.13   1.66574    0.59  2 d  
CSS_J001319.5+063825 00 13 19.58 +06 38 25.9 14.94   0.557806   0.30  1 
CSS_J001322.6+054009 00 13 22.67 +05 40 09.5 13.78   0.289484   0.49  1 
CSS_J001324.0+244918 00 13 24.02 +24 49 18.1 18.59   0.32573    0.57  1 a  
CSS_J001324.6+323018 00 13 24.65 +32 30 18.6 15.21   0.433888   0.11  1 
CSS_J001325.1-140719 00 13 25.17 -14 07 19.8 13.76   0.261376   0.40  1 
CSS_J001336.0+125705 00 13 36.04 +12 57 05.3 16.09   0.487054   0.30  1 
CSS_J001339.5-172907 00 13 39.52 -17 29 07.2 16.19   0.460897   1.23  4 
CSS_J001400.2+091645 00 14 00.21 +09 16 45.5 17.30   0.254872   0.17  1 
CSS_J001400.3+384145 00 14 00.31 +38 41 45.6 13.93   0.47293    0.21  1 
CSS_J001404.5-165842 00 14 04.52 -16 58 42.7 16.16   0.304024   0.39  1 
CSS_J001406.7-070307 00 14 06.78 -07 03 07.8 14.42   0.290932   0.34  1 
CSS_J001407.8+233807 00 14 07.84 +23 38 07.0 15.58   0.375654   0.24  1 
CSS_J001413.5+144453 00 14 13.57 +14 44 53.8 15.55   0.305413   0.62  1 
CSS_J001415.9+232628 00 14 15.92 +23 26 28.6 18.13   0.216444   0.40  3 
CSS_J001419.9+352029 00 14 19.91 +35 20 29.9 12.78   0.673426   0.44  1 
CSS_J001420.8+031214 00 14 20.84 +03 12 14.0 17.45   0.3871100  0.56  6 
CSS_J001425.1+374238 00 14 25.15 +37 42 38.3 16.44   0.295108   0.36  1 
CSS_J001426.0+183145 00 14 26.07 +18 31 45.3 17.92   0.398878   0.50  2 
CSS_J001427.2+402054 00 14 27.23 +40 20 54.4 13.67   0.4798625  0.55  1 
CSS_J001428.8+052240 00 14 28.84 +05 22 40.1 16.53   0.347532   0.11  1 a  
CSS_J001428.9+311917 00 14 28.96 +31 19 17.0 14.20   0.314634   0.14  1 
CSS_J001429.6+133107 00 14 29.63 +13 31 07.8 11.90   9.8937300  0.41 10 
CSS_J001430.2+365226 00 14 30.25 +36 52 26.2 13.01   0.42923    0.25  1 
CSS_J001432.3+132640 00 14 32.39 +13 26 40.1 16.10   0.250148   0.53  1 
CSS_J001432.7-154538 00 14 32.79 -15 45 38.3 15.77   0.246154   0.67  1 
CSS_J001435.2+420306 00 14 35.25 +42 03 06.9 16.71   0.233772   0.22  1 
CSS_J001436.4-075016 00 14 36.42 -07 50 16.6 15.14   0.492562   0.34  1 
CSS_J001437.0+035128 00 14 37.05 +03 51 28.5 18.25   0.31503    0.30  1 
CSS_J001438.9+304401 00 14 38.95 +30 44 01.6 17.19   0.261606   0.73  1 
CSS_J001445.6+310402 00 14 45.62 +31 04 02.0 16.33   0.361584   0.18  1 
CSS_J001447.0+414244 00 14 47.00 +41 42 44.2 13.14   0.279468   0.23  1 
CSS_J001447.2+414243 00 14 47.23 +41 42 43.3 13.17   0.2794681  0.26  1 
CSS_J001449.2+223926 00 14 49.29 +22 39 26.7 17.50   0.343313   0.49  5 
CSS_J001449.7+400204 00 14 49.76 +40 02 04.4 14.94   0.241682   0.55  1 
